Course ID,Course Name,Judul Modul/Tutorial
51,Belajar Membuat Aplikasi Android untuk Pemula,Teori Intent
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan Explicit Intent
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan Mengirim Data pada Intent
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan Mengirim Data dengan Parcelable
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan Implicit Intent
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan Mendapatkan Nilai Balik dari Intent
51,Belajar Membuat Aplikasi Android untuk Pemula,Debugging dengan Logging dan Debug Breakpoint
51,Belajar Membuat Aplikasi Android untuk Pemula,Rangkuman Intent
51,Belajar Membuat Aplikasi Android untuk Pemula,Knowledge Check Intent
51,Belajar Membuat Aplikasi Android untuk Pemula,Teori View dan ViewGroup
51,Belajar Membuat Aplikasi Android untuk Pemula,"Latihan LinearLayout, RelativeLayout, FrameLayout, dan TableLayout"
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan Menganalisis View dan View Group
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan ConstraintLayout
51,Belajar Membuat Aplikasi Android untuk Pemula,Rangkuman View dan ViewGroup
51,Belajar Membuat Aplikasi Android untuk Pemula,Knowledge Check Views dan ViewGroup
51,Belajar Membuat Aplikasi Android untuk Pemula,Teori Style dan Theme
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan Style dan Theme
51,Belajar Membuat Aplikasi Android untuk Pemula,Rangkuman Style dan Theme
51,Belajar Membuat Aplikasi Android untuk Pemula,Knowledge Check Style dan Theme
51,Belajar Membuat Aplikasi Android untuk Pemula,Teori RecyclerView
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan RecyclerView
51,Belajar Membuat Aplikasi Android untuk Pemula,Teori Library di Android
51,Belajar Membuat Aplikasi Android untuk Pemula,Latihan Implementasi Library Glide
51,Belajar Membuat Aplikasi Android untuk Pemula,View Binding
51,Belajar Membuat Aplikasi Android untuk Pemula,Rangkuman RecyclerView
51,Belajar Membuat Aplikasi Android untuk Pemula,Knowledge Check RecyclerView
51,Belajar Membuat Aplikasi Android untuk Pemula,Rangkuman Kelas
51,Belajar Membuat Aplikasi Android untuk Pemula,Ujian Akhir
51,Belajar Membuat Aplikasi Android untuk Pemula,Submission Akhir Aplikasi Android Sederhana
60,Memulai Pemrograman Dengan Java,Cara Belajar Pemrograman
60,Memulai Pemrograman Dengan Java,Pengantar Java
60,Memulai Pemrograman Dengan Java,Tools
60,Memulai Pemrograman Dengan Java,Membangun Project Java
60,Memulai Pemrograman Dengan Java,Pengantar Java Dasar
60,Memulai Pemrograman Dengan Java,Struktur Dasar
60,Memulai Pemrograman Dengan Java,Tipe Data
60,Memulai Pemrograman Dengan Java,String
60,Memulai Pemrograman Dengan Java,Operator
60,Memulai Pemrograman Dengan Java,"Input, Proses, dan Output"
60,Memulai Pemrograman Dengan Java,Array
